# Accelerometer Data File
# Started @Fri Dec 02 13:38:06 CST 2016
#
#
# sensor Vendor: hTC Corp.
# sensor Name: Accelerometer Sensor
# sensor Resolution: 0.01m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.87 3.32 9.01 0
1.25 3.57 9.12 9
1.599 4.11 9.07 10
1.67 4.2 9.08 10
1.09 4.12 8.97 10
-0.849 4.35 8.16 10
-1.53 4.859 8.47 10
-0.909 4.47 9.58 10
-0.13 4.12 9.37 10
0.65 3.78 9.48 10
1.25 3.649 9.73 10
1.719 3.419 10.07 10
2.47 3.56 9.79 10
3.03 3.659 9.28 10
3.09 3.51 8.99 10
2.99 3.23 8.92 10
2.73 2.96 8.769 10
2.24 2.77 9.01 10
1.86 2.879 8.88 10
1.819 3.07 8.71 10
1.77 3.24 8.41 10
1.839 3.06 8.38 10
1.78 2.86 8.38 10
1.589 2.85 8.5 10
1.64 3.12 8.849 10
1.949 3.61 8.96 10
2.159 3.75 8.79 10
2.34 3.47 8.67 10
2.11 3.48 8.69 10
1.87 3.51 8.599 10
1.68 3.56 8.36 10
1.41 3.56 8.23 10
0.93 3.639 8.66 10
0.52 4.009 9.179 10
0.909 4.74 9.38 10
1.469 5.17 9.24 10
1.76 4.61 8.9 10
1.68 3.889 8.51 10
1.64 3.54 8.48 10
1.579 3.47 8.599 10
1.51 3.47 9.05 10
1.61 3.22 9.349 10
2.669 3.54 9.469 10
1.89 3.98 8.72 10
1.24 3.77 9.25 10
0.93 3.679 9.67 10
0.87 3.87 9.69 10
0.9 3.949 9.53 10
0.799 3.949 9.54 10
0.7 3.8 9.4 10
0.75 3.6 9.24 10
1.03 3.6 9.4 10
1.16 3.72 9.389 10
1.06 3.76 9.11 10
0.82 3.74 8.92 10
0.77 3.649 8.639 10
0.71 3.709 8.05 10
0.299 4.009 8.17 10
0.229 3.959 8.16 10
0.429 3.97 8.09 10
0.64 4.18 8.16 10
0.859 4.17 8.44 10
1.09 4.16 8.75 10
1.13 4.24 9.099 10
1.199 4.24 9.4 10
1.199 4.25 9.58 10
1.209 4.11 9.7 10
1.25 3.889 9.8 10
1.1 3.679 9.61 10
1.03 3.58 9.469 10
0.94 3.5 9.3 10
0.62 3.53 9.179 10
0.32 3.56 9.12 10
0.16 3.58 9.13 10
0.07 3.46 9.08 9
0.16 3.37 9.019 10
0.299 3.399 8.88 10
0.25 3.449 8.849 10
0.269 3.61 8.79 10
0.199 3.689 8.71 10
0.17 3.74 8.75 10
0.149 3.75 8.82 10
0.19 3.76 8.87 10
0.26 3.74 8.91 10
0.269 3.709 9.01 10
0.32 3.659 9.08 10
0.45 3.58 9.23 10
0.48 3.58 9.23 10
0.38 3.61 9.38 10
0.39 3.6 9.37 10
0.51 3.57 9.41 10
0.48 3.47 9.3 10
0.35 3.49 9.26 10
0.299 3.53 9.17 10
0.149 3.629 9.139 10
0.12 3.639 9.08 10
0.07 3.72 9.099 10
0.04 3.8 9.05 10
0.19 3.82 9.23 10
0.229 3.81 9.07 10
0.25 3.77 9.139 10
0.199 3.78 9.09 10
0.149 3.77 9.099 10
0.16 3.77 9.099 10
0.089 3.77 9.08 10
0.07 3.78 9.08 10
0.099 3.72 9.16 10
0.14 3.679 9.13 10
0.099 3.659 9.139 10
0.099 3.699 9.21 10
0.149 3.669 9.26 10
0.22 3.649 9.33 10
0.269 3.55 9.349 10
0.29 3.55 9.33 10
0.32 3.59 9.36 10
0.32 3.61 9.29 10
0.229 3.56 9.23 10
0.17 3.629 9.139 10
0.149 3.649 9.09 10
0.12 3.659 9.05 10
0.11 3.659 9.04 10
0.13 3.649 9.05 10
0.17 3.629 8.99 10
0.199 3.62 9.03 10
0.149 3.629 9.05 10
0.21 3.639 9.059 10
0.19 3.6 9.04 10
0.11 3.62 9.09 10
0.099 3.6 9.139 10
0.06 3.56 9.05 10
0.08 3.57 9.16 10
0.08 3.59 9.17 10
0.14 3.659 9.22 10
0.179 3.659 9.24 10
0.21 3.659 9.309 10
0.19 3.74 9.28 10
0.13 3.679 9.28 10
0.11 3.709 9.16 10
0.12 3.679 9.17 10
0.02 3.689 9.12 10
0.03 3.669 9.11 10
0.049 3.72 9.139 10
0.089 3.76 9.15 10
0.12 3.73 9.2 10
0.14 3.74 9.22 10
0.14 3.75 9.24 10
0.13 3.74 9.269 10
0.12 3.709 9.25 9
0.149 3.669 9.28 10
