# Accelerometer Data File
# Started @Fri Dec 02 13:31:51 CST 2016
#
#
# sensor Vendor: hTC Corp.
# sensor Name: Accelerometer Sensor
# sensor Resolution: 0.01m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.069 4.13 8.809 0
-0.88 3.86 8.79 9
-0.859 3.98 8.71 10
-0.909 4.18 8.5 10
-1.14 4.36 8.429 10
-1.469 4.6 8.38 10
-1.589 4.79 8.45 10
-1.52 4.68 8.769 10
-1.39 4.859 8.8 10
-1.02 4.72 8.9 10
-0.5 4.36 9.29 10
-0.21 3.939 9.51 10
-0.149 3.83 9.349 10
0.0 3.97 9.29 10
0.049 4.1 9.46 10
-0.199 4.24 9.32 10
-0.489 4.4 9.11 10
-1.15 4.49 9.17 10
-1.17 4.44 9.28 10
-0.87 4.21 9.13 10
-0.65 3.79 8.95 10
-0.41 3.419 8.849 10
-0.22 3.32 8.75 10
-0.01 3.32 8.59 10
0.099 3.36 8.23 10
0.14 3.449 7.97 10
0.149 3.59 7.919 10
-0.11 3.8 7.94 10
-0.42 4.06 8.04 9
-0.69 4.049 7.99 10
-0.89 3.889 7.99 10
-0.969 3.629 7.93 10
-0.909 3.37 8.069 10
-0.719 3.159 8.24 10
-0.39 3.02 8.149 10
-0.299 3.09 8.24 10
-0.03 3.23 8.29 10
0.06 3.32 8.23 10
-0.02 3.439 8.149 10
-0.29 3.56 8.109 10
-0.5 3.49 8.139 10
-0.55 3.32 8.44 10
-0.45 3.25 8.72 10
-0.35 3.189 8.72 10
-0.25 3.189 8.97 10
-0.179 3.169 8.99 10
0.02 3.07 9.13 10
0.179 3.02 9.29 10
0.16 3.05 9.25 10
0.0 3.139 9.22 10
-0.28 3.25 9.2 10
-0.659 3.37 9.16 10
-1.17 3.76 9.2 10
-1.459 4.31 9.21 10
-1.439 4.72 9.44 10
-1.16 4.77 9.7 10
-0.76 4.43 10.099 9
-0.47 4.0 10.42 10
-0.24 3.85 10.96 10
-0.24 3.889 11.04 10
-0.31 3.879 11.33 10
-0.5 3.959 11.58 10
-0.799 4.06 11.63 10
-1.05 4.22 11.45 10
-1.3 4.33 11.429 10
-1.55 4.27 11.49 10
-1.68 4.18 11.469 10
-1.63 4.08 11.37 10
-1.439 4.0 11.2 10
-1.339 3.99 10.92 10
-1.319 4.08 10.74 10
-1.37 4.259 10.69 10
-1.459 4.23 10.69 10
-1.53 4.27 11.07 10
-1.5 4.319 11.19 10
-1.51 4.24 11.179 10
-1.61 3.899 11.179 10
-1.63 3.399 11.17 10
-1.11 2.76 11.019 10
-1.599 2.46 10.51 10
-1.36 2.09 10.41 10
-0.82 1.709 10.13 10
-0.719 1.52 9.69 10
-0.539 1.48 9.45 10
-0.7 1.22 9.519 9
-0.75 1.22 9.48 10
-0.82 1.55 9.26 10
-0.729 1.73 8.87 10
-0.71 1.699 8.75 10
-0.64 1.56 8.519 10
-0.489 1.459 8.109 10
-0.39 1.52 7.73 10
-0.37 1.699 7.339 10
-0.489 1.87 7.0 10
-0.599 2.0 6.759 10
-0.81 2.18 6.6 10
-1.11 2.45 6.54 10
-1.329 2.72 6.589 10
-1.52 2.899 6.609 10
-1.63 3.02 6.71 10
-1.61 3.04 6.87 10
-1.459 3.1 6.94 10
-1.319 3.189 7.069 10
-1.25 3.3 7.04 10
-1.16 3.28 7.24 10
-1.18 3.389 7.24 10
-1.4 3.56 7.29 10
-1.64 3.699 7.41 10
-1.849 3.879 7.47 10
-2.01 3.98 7.49 10
-2.08 4.12 7.509 10
-2.129 4.15 7.58 10
-2.159 4.17 7.669 9
-2.04 4.21 7.87 10
-1.829 4.24 8.13 10
-1.66 4.21 8.349 10
-1.56 4.2 8.62 10
-1.449 4.339 8.91 10
-1.37 4.48 9.019 10
-1.29 4.52 8.94 10
-1.23 4.48 8.96 10
-1.27 4.339 9.0 10
-1.3 4.31 9.13 10
-1.29 4.33 9.269 10
-1.35 4.47 9.42 10
-1.38 4.549 9.69 10
-1.4 4.73 9.69 10
-1.42 4.77 10.139 10
-1.38 4.7 10.48 10
-1.319 4.62 10.66 10
-1.23 4.38 10.95 10
-1.18 4.12 11.139 10
-1.16 3.949 11.25 10
-1.23 3.83 11.269 10
-1.339 3.77 11.3 10
-1.41 3.699 11.3 10
-1.469 3.629 11.36 10
-1.56 3.639 11.3 10
-1.449 3.6 11.32 10
-1.329 3.49 11.34 9
-1.209 3.33 11.389 10
-1.17 3.12 11.49 10
-1.209 2.86 11.57 10
-1.3 2.7 11.53 10
-1.319 2.51 11.33 10
-1.4 2.389 11.07 10
-1.36 2.2 10.87 10
-1.15 1.93 10.44 10
-0.799 1.699 10.05 10
-0.44 1.53 9.84 10
-0.149 1.35 9.67 10
0.049 1.24 9.38 10
0.179 1.26 9.059 10
0.089 1.4 8.83 10
0.02 1.54 8.69 10
-0.06 1.569 8.519 10
-0.099 1.63 8.38 10
-0.13 1.63 8.36 10
-0.089 1.64 8.45 10
0.02 1.63 8.42 10
0.13 1.67 8.41 10
0.229 1.68 8.38 10
0.38 1.65 8.22 10
0.48 1.689 8.16 10
0.51 1.74 8.04 10
0.64 1.819 8.149 10
0.669 1.92 8.149 10
0.7 1.979 8.16 9
0.78 2.06 8.149 10
0.82 2.07 8.13 10
0.89 2.09 8.189 10
0.89 2.2 8.13 10
0.859 2.3 8.179 10
0.729 2.45 8.309 10
0.539 2.639 8.429 10
0.42 2.82 8.41 10
0.25 2.96 8.58 10
0.01 3.03 8.73 10
0.0 3.09 8.76 10
-0.02 3.169 8.83 10
0.049 3.12 8.929 10
0.16 3.1 9.04 10
0.26 3.149 9.16 10
0.38 3.26 9.38 10
0.489 3.34 9.46 10
0.51 3.51 9.49 10
0.45 3.639 9.599 10
0.44 3.72 9.559 10
0.34 3.75 9.59 10
0.179 3.82 9.69 10
0.12 3.909 9.84 10
0.04 3.99 9.83 10
-0.089 4.009 9.969 10
-0.21 4.049 10.23 10
-0.34 4.06 10.48 10
-0.359 4.089 10.63 9
-0.44 3.889 11.429 10
-0.71 3.83 11.559 10
-0.84 3.74 11.53 10
-1.04 3.62 11.639 10
-1.199 3.36 11.67 10
-1.37 3.06 11.71 10
-1.339 2.909 11.61 10
-1.26 2.76 11.54 10
-1.29 2.629 11.389 10
-1.449 2.58 11.32 10
-1.569 2.61 11.349 10
-1.68 2.71 11.34 10
-1.77 2.69 11.559 10
-1.76 2.58 11.86 10
-1.67 2.46 12.05 10
-1.61 2.429 12.019 10
-1.579 2.34 11.63 10
-1.65 2.03 11.09 10
-1.66 1.77 10.55 10
-1.599 1.439 10.05 10
-1.439 1.209 9.84 10
-1.35 1.079 9.8 10
-1.23 1.28 9.46 10
-1.18 1.54 9.05 10
-1.28 1.719 8.73 10
-1.4 1.839 8.429 10
-1.459 1.9 8.16 10
-1.449 1.91 7.97 9
-1.36 1.939 7.94 10
-1.12 2.04 7.87 10
-1.0 2.129 7.85 10
-0.87 2.169 7.87 10
-0.859 2.25 7.89 10
-0.95 2.31 7.95 10
-1.05 2.429 8.029 10
-1.1 2.419 8.09 10
-1.1 2.379 8.04 10
-1.09 2.23 7.96 10
-1.0 2.09 8.069 10
-0.95 2.05 7.94 10
-0.909 2.12 7.87 10
-0.94 2.159 7.919 10
-0.969 2.3 8.12 10
-1.02 2.45 8.21 10
-1.18 2.58 8.33 10
-1.329 2.78 8.45 10
-1.4 2.96 8.49 10
-1.38 3.02 8.61 10
-1.319 3.01 8.58 10
-1.23 3.0 8.51 10
-1.12 3.01 8.49 10
-1.01 3.02 8.49 10
-0.909 3.09 8.5 10
-0.69 3.04 8.58 10
-0.61 3.06 8.74 9
-0.539 3.189 8.76 10
-0.51 3.409 8.75 10
-0.57 3.59 8.639 10
-0.62 3.649 8.67 10
-0.57 3.689 8.58 10
-0.56 3.699 8.61 10
-0.56 3.75 8.76 10
-0.58 3.87 8.82 10
-0.63 3.98 9.04 10
-0.69 4.04 9.309 10
-0.669 4.11 9.61 10
-0.76 4.11 10.03 10
-0.77 4.18 10.42 10
-0.82 4.24 10.79 10
-0.719 4.22 11.099 10
-0.719 4.1 11.469 10
-0.7 3.919 11.57 10
-0.61 3.76 11.679 10
-0.62 3.55 11.7 10
-0.65 3.389 11.66 10
-0.799 3.159 11.66 10
-0.87 3.07 11.62 10
-1.03 3.0 11.5 10
-1.17 2.909 11.49 10
-1.35 2.909 11.469 10
-1.439 2.929 11.41 10
-1.42 2.83 11.34 10
-1.26 2.679 11.19 9
-1.1 2.37 11.019 10
-0.969 2.09 10.78 10
-0.789 1.86 10.49 10
-0.59 1.709 10.21 10
-0.42 1.68 9.969 10
-0.37 1.66 9.75 10
-0.28 1.689 9.36 10
-0.26 1.76 9.2 10
-0.29 1.76 9.11 10
-0.24 1.8 9.08 10
-0.32 1.93 8.95 10
-0.32 2.08 8.74 10
-0.41 2.08 8.5 10
-0.44 1.969 8.309 10
-0.41 1.819 8.099 10
-0.329 1.689 7.94 10
-0.25 1.75 7.87 10
-0.229 1.8 7.839 10
-0.22 1.829 7.839 10
-0.31 2.02 8.069 10
-0.51 2.21 8.309 10
-0.58 2.389 8.4 10
-0.51 2.49 8.4 10
