# Accelerometer Data File
# Started @Fri Dec 02 13:32:56 CST 2016
#
#
# sensor Vendor: hTC Corp.
# sensor Name: Accelerometer Sensor
# sensor Resolution: 0.01m/sec^2; Max Range: 39.2266; Min Delay: 10000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the " "
# X Y Z time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
-1.01 4.27 8.76 0
-1.209 4.339 8.58 9
-1.1 4.44 8.769 10
-1.069 4.39 8.82 10
-0.94 4.27 8.94 10
-0.82 4.13 9.0 10
-0.75 4.049 9.05 10
-0.7 4.0 9.0 10
-0.659 3.98 9.07 10
-0.57 3.97 9.03 10
-0.53 3.97 9.0 10
-0.659 4.02 8.98 10
-0.77 4.1 8.96 10
-0.789 4.19 8.99 10
-0.77 4.299 8.96 10
-0.669 4.279 8.99 10
-0.7 4.19 8.98 10
-0.64 4.13 8.97 10
-0.61 4.12 8.96 10
-0.62 4.1 8.98 10
-0.62 4.15 8.99 10
-0.61 4.16 8.99 10
-0.61 4.1 8.99 10
-0.61 4.069 9.01 10
-0.69 4.069 9.059 10
-0.7 4.08 9.0 10
-0.76 4.06 8.99 10
-0.75 4.049 8.88 10
-0.719 4.029 8.92 10
-0.74 4.029 8.88 10
-0.77 4.049 8.86 10
-0.81 4.08 8.88 9
-0.77 4.1 8.91 10
-0.74 4.029 8.929 10
-0.74 4.029 8.94 10
-0.77 4.04 8.98 10
-0.729 4.049 8.98 10
-0.719 3.97 8.889 10
-0.77 3.919 9.01 10
-0.719 3.959 8.95 10
-0.74 3.99 8.94 10
-0.78 3.97 8.98 10
-0.719 3.98 8.96 10
-0.7 4.029 8.91 10
-0.74 4.02 8.92 10
-0.76 4.009 8.96 10
-0.859 4.009 8.95 10
-0.84 4.009 8.97 10
-0.849 4.009 9.0 10
-0.84 3.949 9.03 10
-0.81 3.929 8.98 10
-0.81 3.939 8.94 10
-0.789 3.97 8.97 10
-0.77 4.06 8.889 10
-0.789 4.069 8.91 10
-0.77 4.04 8.929 10
-0.75 3.99 8.91 10
-0.82 4.029 8.94 10
-0.789 4.0 8.96 10
-0.789 4.0 9.01 10
-0.77 3.99 8.98 10
-0.75 3.939 8.95 9
-0.76 3.899 8.94 10
-0.799 3.919 8.99 10
-0.81 3.939 9.01 10
-0.84 3.959 8.94 10
-0.89 3.939 8.95 10
-0.88 3.919 8.92 10
-0.859 3.889 8.91 10
-0.88 3.909 8.95 10
-0.93 3.919 9.0 10
-0.93 3.939 9.08 10
-0.82 3.939 9.07 10
-0.75 3.909 9.07 10
-0.77 3.899 9.05 10
-0.76 3.909 9.059 10
-0.799 3.97 9.0 10
-0.78 3.99 9.0 10
-0.78 3.98 9.01 10
-0.859 3.98 9.03 10
-0.799 4.0 9.03 10
-0.81 4.06 8.96 10
-0.77 3.959 9.0 10
-0.74 3.959 8.97 10
-0.71 4.0 9.019 10
-0.76 4.02 8.96 10
-0.7 3.98 9.04 10
-0.75 3.929 9.0 10
-0.75 3.98 8.94 10
-0.76 3.929 8.99 10
-0.789 3.919 8.91 10
-0.83 3.909 9.01 9
-0.859 3.899 9.0 10
-0.81 3.84 9.07 10
-0.77 3.85 9.08 10
-0.729 3.889 9.059 10
-0.82 3.929 8.98 10
-0.89 3.939 9.019 10
-0.93 3.97 8.95 10
-0.859 3.899 9.019 10
-0.849 3.86 9.03 10
-0.84 3.86 9.08 10
-0.88 3.939 9.13 10
-0.82 3.99 9.099 10
-0.789 3.899 9.13 10
-0.75 3.939 9.12 10
-0.729 3.97 9.059 10
-0.729 3.99 9.0 10
-0.74 3.99 8.92 10
-0.68 3.99 8.929 10
-0.669 3.98 8.889 10
-0.71 4.02 8.96 10
-0.7 3.98 8.95 10
-0.7 3.949 8.96 10
-0.7 3.959 8.96 10
-0.68 3.929 8.96 10
-0.75 3.919 9.0 10
-0.78 3.939 8.95 10
-0.789 3.929 9.019 10
-0.77 3.949 9.01 10
-0.729 3.899 9.0 10
-0.76 3.939 8.95 10
-0.76 3.919 8.99 9
-0.789 3.919 8.98 10
-0.77 3.949 8.96 10
-0.77 4.009 9.03 10
-0.78 3.959 9.03 10
-0.74 3.919 9.04 10
-0.69 3.949 9.09 10
-0.69 3.939 9.07 10
-0.68 3.949 9.04 10
-0.64 3.959 9.05 10
-0.659 3.98 8.99 10
-0.669 4.0 8.9 10
-0.69 3.99 8.98 10
-0.76 4.06 9.05 10
-0.76 4.06 9.03 10
-0.74 3.99 9.09 10
-0.69 3.97 9.08 10
-0.64 3.909 9.099 10
-0.7 3.98 9.019 10
-0.69 3.97 9.0 10
-0.75 4.009 9.01 10
-0.74 3.959 8.98 10
-0.719 3.889 8.99 10
-0.659 3.889 8.889 10
-0.669 3.899 8.929 10
-0.7 3.98 8.889 10
-0.69 3.98 8.92 10
-0.78 3.97 8.889 10
-0.77 3.959 8.889 10
-0.719 3.949 8.96 10
-0.659 3.86 9.03 9
-0.64 3.85 9.059 10
-0.68 3.87 9.04 10
-0.68 3.949 9.05 10
-0.669 3.959 9.04 10
-0.65 3.99 9.05 10
-0.58 3.959 9.03 10
-0.59 3.929 8.96 10
-0.62 3.919 8.92 10
-0.7 3.959 8.91 10
-0.729 4.0 8.94 10
-0.7 3.949 8.9 10
-0.69 3.919 8.98 10
-0.729 3.909 8.95 10
-0.7 3.879 8.97 10
-0.729 3.889 9.0 10
-0.75 3.949 9.05 10
-0.719 3.98 9.019 10
-0.75 3.98 8.97 10
-0.78 3.949 8.98 10
